CurrencyPair,Rate,AsOfDate
ZWL/SGD,727.58,02/04/2023 08:55:42
XDR/GNF,929.13,04/28/2023 09:31:48
ALL/ZWL,974.43,06/02/2021 00:28:05
SGD/KYD,660.07,02/19/2021 01:17:35
XFU/CAD,532.34,02/27/2023 11:56:17
SZL/BWP,204.60,10/14/2022 14:07:34
XAF/TND,990.54,06/01/2023 08:09:31
BGN/LAK,592.52,10/08/2022 09:43:11
XDR/BRL,694.83,10/11/2021 23:15:08
MGA/OMR,404.45,01/10/2022 21:13:33
KWD/LBP,582.03,12/03/2022 06:31:19
MNT/FKP,606.68,06/13/2023 07:19:11
AMD/SHP,284.90,09/30/2020 01:39:20
MMK/FJD,111.47,11/28/2022 22:00:43
CDF/GIP,514.29,10/05/2022 02:33:30
CNY/PEN,630.03,05/19/2021 14:51:51
XPF/IDR,947.45,05/13/2021 19:31:53
SBD/MAD,388.60,07/14/2022 10:00:54
PEN/KHR,608.70,12/07/2022 20:19:33
JMD/ETB,899.03,08/23/2022 13:44:17
USD/UZS,49.66,07/03/2021 01:02:27
ILS/EGP,853.40,05/05/2023 08:01:08
EUR/THB,627.50,08/20/2023 00:39:19
CUC/IRR,527.48,11/10/2020 19:47:08
AUD/MZN,871.39,12/10/2020 04:57:51
XBD/INR,57.41,11/15/2022 22:08:28
BZD/SZL,976.89,06/07/2022 03:29:32
JPY/GHS,93.79,07/11/2022 15:04:33
ARS/XAU,594.97,05/11/2021 11:42:48
TWD/SDG,113.30,06/06/2022 19:20:14
EGP/SBD,786.13,04/27/2023 22:49:56
BWP/LTL,92.87,04/14/2023 02:36:51
AMD/ANG,367.84,01/05/2023 08:33:11
KHR/CVE,195.18,10/31/2020 08:41:11
JOD/NAD,665.37,10/08/2021 23:18:20
BWP/EUR,563.79,12/15/2022 17:55:01
SZL/PEN,55.02,04/22/2022 04:49:52
STN/XOF,305.81,01/18/2023 07:03:09
EEK/PAB,399.64,08/24/2022 17:19:02
MNT/BBD,959.59,09/30/2022 17:02:48
KHR/LYD,879.98,04/28/2021 15:31:12
KWD/SGD,952.02,05/09/2022 16:23:39
AMD/TOP,218.82,12/29/2022 05:11:09
SEK/MDL,100.57,12/02/2020 09:58:58
VEF/EGP,610.40,10/27/2021 19:43:18
VUV/SCR,495.77,12/15/2021 03:00:43
MRO/KPW,735.58,11/17/2021 06:07:45
IDR/IQD,703.82,06/20/2022 16:53:18
BZD/MKD,341.41,05/26/2021 20:05:12
RWF/BHD,225.20,10/16/2022 12:58:40
TTD/ZMK,277.07,07/04/2023 04:06:36
MYR/MYR,794.65,12/12/2020 08:03:52
IRR/SLL,362.49,11/18/2021 14:38:45
CVE/HTG,701.82,10/24/2020 09:49:07
XPD/MUR,183.08,06/26/2021 04:58:07
ETB/AZN,99.00,08/21/2023 23:16:23
TZS/CNY,560.56,02/20/2023 21:07:07
BTN/MOP,760.40,09/10/2023 08:28:52
UAH/STN,829.26,08/16/2023 08:55:22
RSD/NZD,700.87,06/19/2021 09:36:56
GTQ/NIO,187.45,08/18/2021 12:29:52
GBP/UGX,153.38,06/06/2023 03:38:14
TMT/BRL,300.74,07/31/2022 07:29:05
NAD/LVL,492.14,06/16/2021 20:48:13
XTS/XFU,269.18,04/05/2023 11:13:21
TZS/JPY,723.47,03/19/2023 19:00:43
OMR/VUV,440.03,12/06/2020 19:25:20
BZD/ALL,648.66,03/11/2023 14:30:16
HNL/XAG,23.08,07/22/2021 20:01:13
NZD/GIP,855.30,11/19/2022 02:13:26
AOA/UZS,830.23,05/09/2021 15:51:41
LRD/GYD,8.60,07/02/2022 06:05:28
TMT/NAD,763.21,07/31/2022 17:05:07
TMT/EEK,860.77,07/22/2021 09:43:07
ISK/NGN,840.86,05/01/2021 18:02:29
XAF/PLN,484.92,06/22/2023 05:10:15
LYD/GEL,207.15,11/29/2021 09:07:36
UAH/KYD,443.04,12/19/2022 10:35:48
DOP/MGA,712.98,03/11/2023 00:21:51
GIP/XPF,681.89,10/16/2022 18:01:05
MDL/TOP,934.56,10/09/2022 19:24:23
GNF/LAK,17.19,11/26/2021 14:52:33
SBD/TND,90.58,04/09/2021 02:03:44
TWD/NGN,391.55,11/03/2022 01:16:11
USD/SOS,760.45,10/24/2021 08:09:31
KHR/XPT,566.46,08/12/2023 07:49:22
MXN/GMD,73.78,05/12/2021 01:55:38
XAU/UAH,278.10,10/30/2021 04:39:23
UGX/MMK,992.99,03/31/2023 22:35:38
BSD/MNT,935.18,10/06/2020 19:48:31
ISK/GYD,346.16,05/24/2022 10:09:58
XCD/DOP,70.99,09/12/2022 21:34:55
MUR/GNF,612.70,05/15/2021 15:24:54
MVR/SDG,874.64,08/19/2023 03:02:35
RON/SHP,262.49,07/13/2021 05:38:34
SGD/DOP,251.17,05/21/2023 13:06:40
HNL/TND,739.96,08/03/2021 23:01:13
DKK/NAD,546.16,07/12/2023 20:15:45
STN/KHR,600.90,09/12/2021 08:45:41
IQD/MUR,104.32,09/09/2023 04:17:55
PAB/VEF,119.37,09/26/2020 06:58:50
AWG/LTL,457.25,08/09/2022 05:17:28
THB/UAH,564.62,12/03/2020 12:54:50
AUD/GIP,747.12,04/09/2022 05:37:59
TND/KMF,23.68,09/23/2022 18:43:51
VUV/GIP,395.03,07/29/2022 11:22:34
XBD/CZK,362.09,04/14/2023 08:41:49
SZL/YER,234.67,11/29/2021 09:15:46
XBB/ETB,425.62,09/04/2022 08:28:03
CUC/AZN,854.26,02/09/2022 07:16:33
BZD/GIP,826.02,10/10/2022 02:54:55
RON/MUR,119.34,05/27/2022 09:58:18
SDG/XAU,706.80,12/19/2020 15:07:30
SZL/NOK,380.56,07/01/2022 18:12:14
GMD/LBP,758.37,07/19/2022 20:41:32
THB/KMF,926.15,07/30/2021 21:09:03
VEF/COP,190.37,10/24/2020 05:16:44
MZN/GHS,863.48,10/27/2021 03:59:19
USD/NPR,994.60,01/11/2022 14:10:40
HRK/UZS,171.89,03/02/2021 04:27:06
XBC/SEK,455.24,07/13/2022 09:43:56
BMD/NPR,461.35,07/20/2022 13:20:54
BBD/SLL,188.33,08/01/2021 04:03:33
CUP/CLP,95.63,07/13/2021 14:42:50
EGP/CNY,546.23,04/23/2021 13:56:39
EUR/SDG,459.75,09/14/2022 05:30:11
MUR/CDF,440.66,04/23/2022 07:35:04
XBA/XBB,658.59,10/21/2020 01:20:59
SHP/XAU,955.94,03/18/2022 14:08:35
CVE/FKP,347.40,02/21/2023 13:01:53
BIF/ZAR,438.84,12/20/2020 13:34:01
BOB/BTN,94.62,12/26/2021 06:33:31
FJD/MUR,972.48,07/30/2022 01:16:45
LVL/AUD,627.35,08/25/2021 11:59:13
ARS/STN,403.06,11/16/2021 00:34:59
IQD/IQD,906.76,11/25/2022 01:02:15
KES/GYD,265.74,03/22/2023 00:48:50
BGN/HTG,717.94,12/14/2022 11:06:52
BOB/HNL,535.10,01/10/2023 07:36:21
IQD/JMD,428.91,03/23/2023 23:07:56
TJS/JOD,944.72,05/09/2021 19:01:47
COP/ZAR,463.46,04/13/2022 12:07:09
IRR/CNY,22.87,11/08/2022 20:56:11
AOA/BWP,231.60,09/25/2020 18:30:20
MKD/IDR,396.72,11/05/2020 18:20:54
MGA/MNT,422.83,08/06/2022 17:27:18
STN/XBA,302.50,06/20/2021 17:55:01
XAG/KRW,926.67,02/08/2023 22:41:42
XBD/UGX,576.70,09/18/2021 02:00:44
HRK/RON,931.24,01/13/2021 20:07:55
AFN/TMT,62.61,05/09/2021 01:00:19
NGN/UZS,512.53,10/28/2021 09:09:12
NZD/DZD,154.76,03/03/2021 08:36:53
BWP/ERN,109.47,04/15/2022 20:24:29
KHR/USD,400.80,04/23/2021 04:08:27
STN/OMR,112.57,05/21/2021 02:00:33
TOP/BHD,15.79,02/01/2023 00:50:22
NGN/BMD,840.46,03/02/2023 22:03:27
UZS/HTG,401.28,12/29/2021 11:39:22
RUB/XFU,77.11,12/12/2021 06:40:53
MUR/TJS,198.73,04/29/2023 12:43:38
SRD/MWK,514.96,10/10/2021 19:37:26
NPR/LAK,252.82,03/26/2022 04:20:30
BWP/PKR,170.55,10/13/2021 21:59:41
SGD/PHP,334.91,10/10/2022 23:44:18
VND/IDR,500.91,02/22/2021 06:46:46
BND/XBB,191.13,04/15/2021 13:40:51
HRK/TZS,698.20,03/25/2022 04:35:33
MVR/PGK,627.40,06/30/2021 22:47:30
XOF/PEN,396.89,04/23/2023 04:22:05
ARS/MKD,727.02,09/08/2023 00:33:37
VND/IQD,672.57,01/13/2022 00:47:39
SLL/USD,103.64,06/20/2023 08:20:11
SAR/KRW,103.98,12/15/2020 14:07:01
SLL/TRY,148.80,11/28/2021 18:14:33
IRR/UAH,413.20,12/23/2021 07:14:43
MAD/IQD,205.16,07/16/2023 21:42:24
SLL/MZN,231.73,08/26/2022 16:24:44
VEF/IRR,120.00,09/22/2022 00:38:27
XBD/SOS,557.54,02/01/2022 16:56:01
JOD/IDR,887.08,12/19/2020 23:45:01
VEF/HRK,536.90,05/31/2022 09:41:44
PGK/MXN,919.82,04/04/2022 00:19:51
JPY/GNF,203.09,04/06/2023 05:38:59
TRY/AZN,632.89,09/30/2020 07:36:10
PHP/OMR,471.85,12/23/2022 00:55:36
GIP/THB,492.24,04/21/2023 01:04:21
AED/UZS,978.09,05/15/2022 03:06:10
XPD/BGN,116.63,11/28/2021 03:02:19
LKR/XAU,517.84,08/07/2021 08:12:52
IQD/ALL,232.25,07/08/2021 00:58:26
HTG/JOD,33.65,02/06/2021 14:08:50
HUF/BAM,604.51,12/09/2021 02:09:02
TMT/HTG,413.82,11/18/2020 07:07:41
TJS/FKP,461.72,02/13/2021 12:48:24
XCD/XBA,679.51,06/17/2022 02:09:35
CAD/TTD,261.63,10/16/2022 18:30:48
ISK/GEL,777.38,01/03/2023 04:31:39
LKR/LVL,261.28,06/09/2023 15:54:28
HUF/BOB,213.38,10/15/2021 20:55:09
LAK/SGD,323.20,08/02/2022 09:04:14
KGS/BMD,760.23,11/09/2021 17:16:08
OMR/PAB,909.12,11/26/2022 19:18:22
BGN/AZN,122.61,02/05/2023 09:38:18
MDL/NOK,189.21,04/21/2022 12:59:45
SVC/MWK,110.64,12/19/2020 07:51:16
THB/KRW,616.36,01/16/2023 17:18:17
FJD/CUC,264.38,06/18/2023 18:25:20
LRD/HRK,410.99,06/20/2021 08:25:21
EGP/CLP,80.49,04/06/2022 02:51:59
SYP/XOF,594.41,03/18/2022 06:03:12
FKP/ALL,266.43,04/12/2021 04:06:12
SRD/BZD,274.55,04/30/2021 16:09:32
CVE/EEK,944.63,07/21/2021 03:16:51
DJF/RSD,920.04,07/25/2023 09:01:55
KGS/CUC,651.05,07/27/2021 08:52:57
IQD/NIO,249.08,11/30/2020 10:52:30
SHP/MXN,78.25,05/26/2022 22:05:12
MMK/BDT,107.68,04/19/2022 20:45:27
BDT/UGX,385.49,06/27/2023 12:54:33
IRR/JPY,656.52,10/18/2021 04:02:09
MXN/NIO,732.67,10/17/2020 10:41:45
UGX/SLL,988.07,04/22/2022 16:38:21
MZN/LAK,394.02,08/05/2022 01:19:41
DJF/LRD,456.11,07/06/2022 09:05:34
SCR/KMF,870.78,09/08/2022 10:40:41
LSL/XPF,900.80,02/12/2023 04:57:53
AOA/DKK,771.82,03/02/2023 07:06:46
SOS/BHD,339.39,10/20/2021 20:47:49
DKK/STN,860.09,02/15/2022 21:10:34
RWF/XCD,723.15,10/25/2021 20:44:09
AMD/MWK,647.07,03/04/2022 14:46:57
DJF/USD,726.36,01/19/2022 17:03:27
VND/PGK,340.23,05/12/2022 05:14:41
LVL/OMR,351.22,12/23/2021 04:38:09
LYD/UGX,146.80,06/26/2022 10:07:18
GMD/XFU,704.83,04/03/2021 10:36:54
BWP/HNL,160.26,10/14/2020 19:28:18
ETB/MDL,252.02,03/30/2021 12:44:11
TND/RON,501.86,03/27/2023 06:41:32
NAD/DKK,525.40,07/16/2023 06:14:25
ILS/TMT,927.66,10/14/2022 13:49:16
ZAR/DZD,883.34,03/27/2021 18:43:08
MNT/KES,754.64,10/26/2021 11:17:56
SAR/RWF,981.52,09/19/2022 15:59:17
TJS/SBD,119.81,12/26/2020 16:34:34
AUD/GNF,583.76,06/04/2022 03:39:26
MAD/NOK,120.71,04/14/2022 18:08:28
BAM/RON,579.56,05/12/2021 00:11:26
SEK/KRW,222.46,05/21/2022 16:26:42
KWD/LSL,697.78,07/29/2022 12:32:20
INR/PGK,242.40,02/19/2023 07:09:39
MMK/BYR,903.79,12/12/2021 13:58:39
TOP/PEN,303.42,03/28/2023 12:39:47
NOK/MNT,102.58,05/03/2023 06:15:49
ZWL/BTN,403.01,02/03/2022 13:44:58
BIF/ARS,171.40,10/08/2020 07:04:10
YER/GMD,153.42,05/02/2023 11:08:27
XCD/PGK,439.49,08/07/2021 04:34:51
CUP/BND,117.31,04/05/2022 13:55:39
GNF/BDT,394.83,12/16/2022 19:17:52
BOB/JPY,37.99,04/26/2021 05:24:45
AWG/BOB,835.80,01/03/2022 00:25:23
XBD/THB,376.72,03/06/2023 17:45:04
BBD/XFU,232.68,07/05/2021 13:00:44
COP/XAF,926.57,10/16/2020 04:13:52
TND/BMD,567.30,02/04/2023 09:01:27
TTD/PYG,937.79,12/14/2022 16:41:41
BSD/SLL,215.80,05/01/2023 13:12:48
CRC/KGS,544.63,05/13/2021 19:31:44
SVC/KGS,897.03,01/15/2023 01:00:14
IDR/BAM,399.65,08/16/2022 04:04:37
HUF/BWP,883.56,12/09/2022 02:36:35
UAH/MWK,74.57,01/14/2023 13:49:00
KRW/ARS,500.85,01/08/2022 07:34:34
GYD/JOD,987.25,05/14/2022 04:41:29
NIO/CZK,974.08,08/24/2023 16:08:49
RWF/CVE,967.97,08/28/2021 21:06:25
RSD/BDT,732.19,01/03/2023 23:17:01
KMF/LTL,844.08,08/03/2021 05:15:27
MMK/ISK,894.84,08/05/2022 02:05:14
XPD/XAG,312.65,08/11/2023 09:30:05
DKK/PLN,405.92,03/10/2022 17:11:16
MWK/LBP,280.47,04/16/2021 15:24:27
BGN/BMD,700.56,07/25/2022 17:30:57
JMD/COP,774.85,09/06/2023 02:48:05
JMD/GBP,781.47,09/04/2023 11:54:53
FKP/FJD,719.05,02/15/2022 21:29:25
GMD/KZT,612.95,08/08/2021 19:03:05
CHF/KZT,937.45,04/18/2021 06:13:32
PKR/MXN,790.09,03/02/2023 07:49:59
GMD/LSL,688.00,09/19/2021 01:40:58
SRD/CLP,803.32,02/05/2021 10:33:45
SDG/BGN,198.58,12/01/2020 23:17:01
THB/HRK,280.72,05/24/2022 14:10:45
NGN/STN,692.85,07/20/2022 13:59:41
IDR/IRR,458.93,07/25/2023 13:58:08
AMD/XFU,349.15,08/23/2021 00:18:39
PKR/MYR,480.74,04/11/2023 21:41:46
NZD/KYD,415.54,08/21/2023 04:58:52
XDR/LVL,171.59,04/12/2021 18:21:11
TRY/MVR,895.75,10/04/2020 10:08:01
NGN/EGP,945.10,09/27/2020 17:22:48
SDG/KRW,621.46,03/22/2023 11:23:12
FKP/INR,351.55,02/15/2022 15:01:13
KWD/HUF,729.06,09/15/2020 14:01:30
PHP/NOK,663.35,07/04/2023 09:15:19
GYD/MVR,859.26,06/12/2021 13:17:33
PYG/HRK,612.67,05/11/2022 02:03:54
NOK/PGK,287.43,01/18/2022 02:37:32
KPW/TTD,925.22,11/20/2021 12:14:10
BSD/GNF,287.88,06/29/2023 07:58:22
AFN/BZD,801.79,12/11/2022 07:36:38
MVR/NIO,952.02,07/26/2022 16:42:55
XAF/SEK,345.90,12/30/2021 01:18:38
VUV/XBB,371.36,01/02/2023 00:20:23
SGD/SVC,420.30,11/29/2020 07:47:39
KPW/SAR,311.53,09/04/2022 22:25:37
BGN/RUB,306.08,05/02/2023 20:29:05
UAH/EEK,33.63,06/28/2023 12:56:22
MDL/LYD,845.26,11/18/2020 11:15:38
SDG/PEN,414.80,04/06/2023 21:11:40
PAB/HTG,75.92,12/01/2021 07:19:54
CZK/AFN,187.59,06/19/2023 14:06:08
CNY/JPY,55.76,09/17/2022 09:35:16
KHR/TWD,324.91,07/20/2022 10:30:04
AUD/JMD,224.50,06/16/2023 21:02:10
GYD/VEF,558.02,07/24/2021 22:42:00
IDR/NAD,985.06,10/11/2022 07:36:19
GIP/RSD,866.28,11/22/2020 12:19:46
KGS/XPD,580.36,10/23/2020 23:49:00
GNF/USD,0.53,12/02/2022 04:32:34
GEL/ALL,690.72,01/04/2021 11:03:36
GTQ/GNF,179.45,12/17/2022 02:06:25
CHF/KHR,87.99,05/05/2021 16:59:50
EEK/RUB,535.67,11/20/2020 14:34:45
HUF/EEK,35.50,03/20/2023 11:13:17
DZD/HKD,545.29,11/23/2021 14:29:49
GHS/BHD,464.90,08/26/2022 05:52:57
SDG/UYU,670.69,12/05/2021 04:39:43
MGA/LYD,296.66,10/04/2020 15:16:35
HTG/TRY,299.97,01/02/2022 22:48:18
BWP/SZL,194.20,04/19/2023 05:00:04
IDR/NIO,731.00,12/08/2022 07:00:38
ANG/MAD,638.23,01/01/2021 23:50:37
IQD/RSD,733.59,02/25/2023 11:23:08
CLP/SLL,354.01,01/16/2022 13:50:19
CAD/MRO,801.49,06/02/2023 23:17:31
PEN/IQD,283.92,03/06/2022 02:32:20
UAH/ANG,424.30,01/09/2021 20:08:55
BND/INR,150.53,05/22/2021 22:28:06
XBA/BDT,295.09,07/04/2021 01:03:49
TTD/CVE,582.39,04/03/2021 05:28:11
ILS/PYG,39.53,10/19/2021 00:24:31
ALL/XBC,701.72,06/01/2023 00:09:36
UAH/HNL,437.49,08/28/2021 17:03:14
TMT/BBD,964.27,05/08/2021 22:27:46
GYD/GYD,185.63,07/21/2021 03:25:31
LTL/CUC,555.57,05/09/2021 11:04:53
HNL/GMD,163.13,01/01/2021 19:58:10
SAR/CRC,323.05,04/08/2023 15:55:40
LVL/BHD,957.26,02/11/2023 09:34:45
MGA/XBC,897.33,12/01/2022 06:04:26
NPR/STN,285.10,01/27/2023 08:28:15
GTQ/TMT,227.61,01/04/2022 00:37:43
NAD/BIF,822.19,06/02/2021 15:20:10
CRC/SVC,14.06,07/18/2023 05:48:29
SCR/INR,982.61,10/09/2021 09:06:02
HRK/KPW,326.91,05/07/2022 18:11:25
MYR/GIP,990.82,03/07/2021 23:25:17
IQD/GTQ,299.32,06/07/2022 22:53:13
GTQ/ZMK,633.43,11/06/2022 03:26:09
XTS/HKD,656.55,04/05/2023 10:36:57
FKP/VEF,767.77,07/28/2023 15:33:51
MUR/LTL,985.09,03/30/2022 10:18:13
MMK/CHF,347.93,09/20/2022 20:24:50
PGK/LYD,657.37,07/10/2021 05:43:34
ERN/ZMK,643.32,01/09/2023 03:01:16
JOD/XPD,341.21,07/01/2022 22:08:20
RUB/BZD,119.59,02/02/2023 23:29:52
BIF/RWF,629.80,08/13/2021 23:12:43
PHP/MKD,741.00,01/04/2023 08:07:41
NPR/GYD,892.97,02/20/2023 06:39:09
SAR/SEK,651.59,08/11/2023 14:03:25
LVL/BWP,174.41,04/19/2023 23:35:19
XAG/XAF,780.33,01/28/2022 10:15:31
COP/PHP,428.50,06/07/2023 18:00:22
KES/XOF,643.78,05/16/2021 06:00:41
PEN/UAH,523.12,01/21/2022 11:13:49
XCD/SCR,572.65,12/24/2021 17:16:24
LVL/OMR,618.06,10/05/2021 22:31:38
LVL/NPR,819.80,10/13/2022 14:38:38
DOP/RWF,906.82,06/10/2021 01:11:15
FJD/GHS,348.64,01/27/2022 02:03:47
LRD/USD,322.17,10/24/2020 05:20:17
WST/MAD,940.77,12/18/2020 17:09:55
LTL/AFN,407.88,08/06/2021 21:56:26
XPT/BBD,368.01,06/09/2023 06:16:49
STN/XPT,496.38,12/27/2022 04:47:19
GNF/VUV,945.54,08/06/2022 13:37:30
SZL/GMD,221.64,10/10/2020 04:21:53
SCR/MWK,314.30,07/23/2022 06:58:12
EEK/PAB,783.06,12/06/2021 04:16:45
SHP/CVE,934.33,08/27/2021 17:30:24
GIP/XAF,571.38,10/02/2020 00:16:30
MYR/TTD,311.88,08/05/2021 12:29:56
LRD/XOF,131.00,02/15/2022 13:19:32
DKK/ARS,932.00,11/09/2021 22:45:26
VND/XAF,446.34,03/14/2022 15:17:57
NZD/TND,808.10,02/20/2022 12:07:54
STN/BOB,644.72,09/02/2021 06:19:50
PHP/CVE,804.76,07/21/2022 00:10:20
XBC/IDR,964.91,12/15/2022 04:20:24
GBP/SOS,185.02,12/08/2020 04:34:56
AWG/ETB,621.70,06/02/2021 06:33:11
LYD/PLN,718.77,12/03/2020 03:22:05
AFN/LAK,356.71,02/25/2023 08:29:47
XAF/BAM,468.43,03/24/2021 00:24:56
SHP/LVL,57.70,04/16/2022 13:26:50
EGP/BYR,613.13,01/03/2023 20:29:02
VND/SBD,204.78,01/26/2023 09:54:00
RSD/SHP,763.34,07/10/2023 17:17:46
LKR/CRC,264.05,08/11/2023 03:29:07
BGN/VEF,353.27,06/27/2022 03:13:51
CDF/SVC,825.36,11/04/2021 10:31:03
ARS/BSD,578.11,01/15/2022 22:31:38
ZWL/SLL,804.42,01/13/2022 14:31:50
MUR/MUR,635.38,09/17/2021 13:56:35
HUF/MYR,56.86,08/23/2022 15:57:55
CZK/GIP,362.26,05/07/2022 00:42:49
XCD/KHR,542.82,02/24/2021 20:54:57
SBD/SDG,671.19,07/13/2022 12:05:28
XOF/KYD,361.53,02/11/2021 15:14:07
XPF/BSD,250.66,02/09/2023 16:17:16
PHP/QAR,403.34,05/01/2022 00:19:57
GHS/AZN,507.15,11/20/2020 12:27:15
DZD/PKR,758.69,10/07/2021 09:53:01
PHP/AUD,570.08,08/08/2023 03:03:09
BBD/XAG,212.29,05/23/2022 21:10:13
EGP/UZS,505.30,08/01/2021 06:39:34
GNF/IDR,139.72,01/18/2021 07:50:32
IRR/COP,745.34,04/05/2021 10:25:54
KPW/CVE,421.65,05/20/2023 04:16:30
BSD/XAF,696.52,11/16/2022 12:45:27
RON/NAD,187.79,04/11/2023 19:31:38
KGS/BZD,42.83,05/14/2023 00:02:06
KPW/HUF,13.46,12/19/2020 00:16:42
USD/NAD,619.07,06/07/2021 08:43:17
KMF/XBC,507.16,11/29/2022 00:57:18
THB/XAF,931.52,02/16/2023 08:36:23
IRR/TRY,480.20,01/12/2022 17:24:18
KMF/KYD,154.52,05/05/2021 06:31:04
IDR/UAH,27.92,08/13/2021 09:41:29
NZD/BIF,432.00,08/23/2022 20:24:52
GTQ/NZD,800.64,05/19/2021 15:18:09
CDF/MYR,887.05,07/05/2023 05:03:09
NZD/CLP,961.03,01/02/2023 05:10:33
XAU/YER,547.44,07/20/2022 05:10:30
AMD/GNF,326.55,12/27/2021 03:24:52
HKD/MMK,402.57,09/29/2021 15:34:30
SOS/VEF,977.89,11/28/2022 02:58:54
BWP/FJD,223.57,04/26/2021 05:05:40
INR/LYD,598.71,03/13/2023 11:44:33
NPR/AZN,250.59,09/26/2021 23:32:38
TMT/XFU,357.11,04/03/2021 09:47:38
UYU/SDG,121.07,12/24/2021 06:46:35
KYD/KHR,455.23,12/17/2020 13:10:09
SAR/MUR,90.65,09/18/2021 04:10:26
SDG/ILS,178.94,08/30/2021 08:34:00
LVL/KRW,882.33,12/01/2021 21:25:36
CVE/PEN,97.63,03/04/2023 22:06:25
AUD/HKD,40.43,05/05/2022 23:29:56
MMK/DOP,901.47,03/24/2023 22:47:21
PLN/SYP,251.26,02/24/2023 17:10:33
SLL/BBD,597.28,12/11/2021 23:48:44
UZS/BSD,765.37,03/02/2023 18:11:05
GHS/XOF,494.88,02/07/2021 11:16:14
XBD/PGK,358.46,05/31/2023 05:50:01
GHS/UAH,200.92,02/25/2022 15:27:42
CHF/BDT,591.14,01/28/2022 05:58:07
USD/CDF,718.67,12/02/2022 03:16:47
ARS/BSD,381.34,03/26/2023 18:39:20
PLN/BBD,74.44,11/05/2021 16:23:29
SYP/CNY,931.38,11/23/2022 22:28:35
TND/MUR,512.49,12/13/2022 22:48:10
DJF/XBB,236.33,10/02/2022 13:27:05
PYG/KRW,605.55,11/21/2020 07:26:25
MGA/KRW,760.33,01/24/2022 14:01:09
CNY/BHD,47.35,05/17/2021 15:08:49
LYD/CZK,610.53,03/09/2023 18:32:11
KGS/ZAR,923.26,12/28/2022 07:24:04
KPW/PEN,372.24,11/21/2021 23:14:50
DOP/JMD,824.53,01/18/2021 16:32:14
HKD/MRO,151.09,05/11/2022 07:44:46
NZD/AUD,380.16,07/12/2022 23:27:47
LRD/PAB,518.87,08/28/2022 06:49:27
RWF/DZD,62.95,01/17/2022 19:08:30
CUP/JPY,595.05,02/22/2023 10:04:21
DKK/GMD,693.57,02/03/2021 11:41:16
HTG/BMD,854.99,08/18/2021 02:31:04
ILS/CRC,575.53,02/22/2021 13:43:16
MVR/VND,651.89,10/04/2020 00:00:07
XBC/AWG,880.33,05/08/2021 21:59:28
SAR/AED,963.06,01/31/2023 13:03:13
NPR/SGD,64.87,01/17/2022 21:10:21
SCR/GYD,297.50,10/06/2022 18:23:31
SHP/MXN,317.66,07/28/2021 17:35:12
IRR/CAD,271.13,06/25/2023 16:58:09
QAR/GNF,621.36,11/21/2021 19:22:41
AED/AMD,257.25,04/15/2023 17:55:35
KWD/PHP,562.34,04/21/2022 02:43:52
PEN/SCR,747.50,01/26/2022 19:04:39
GTQ/LAK,692.73,09/17/2022 10:33:05
DZD/MAD,679.75,08/22/2022 12:43:51
XPF/WST,179.37,03/21/2023 10:48:23
EUR/BMD,932.53,11/02/2020 08:06:15
JMD/XBA,925.31,03/11/2023 09:22:18
UZS/TRY,525.10,07/20/2021 01:55:42
THB/ZAR,458.14,12/04/2021 11:20:55
CZK/ZMK,221.19,12/16/2020 18:29:00
MUR/AOA,391.67,03/06/2021 20:54:35
THB/XBB,745.15,06/19/2023 06:34:39
MKD/TWD,960.32,06/19/2022 16:41:12
GBP/RON,916.05,01/10/2021 08:08:19
XBD/CNY,327.44,02/09/2023 15:18:49
HTG/UGX,516.61,02/02/2021 14:36:13
XBD/JMD,138.07,11/23/2020 00:50:34
AZN/GHS,143.37,04/06/2021 00:43:54
PGK/BIF,357.12,03/25/2023 10:58:19
UYU/BOB,883.67,07/20/2023 14:17:16
SVC/SRD,157.11,10/21/2021 17:25:14
LSL/PLN,662.05,09/02/2021 13:29:57
AMD/NGN,547.16,01/07/2022 18:22:37
ARS/SRD,249.28,05/13/2021 02:11:20
BGN/VND,157.60,08/28/2023 06:09:35
KMF/SBD,913.97,06/06/2022 09:48:30
MYR/AWG,801.52,10/26/2022 09:09:17
MKD/XPD,962.78,05/29/2022 03:07:38
SCR/UAH,254.13,07/12/2023 00:52:12
PAB/XPD,716.49,05/05/2021 16:39:54
TTD/BAM,704.60,12/18/2021 13:23:19
KGS/NPR,249.61,08/24/2022 06:03:28
ZWL/XBC,844.23,10/02/2022 18:02:53
PKR/TND,156.66,09/13/2022 03:50:47
IRR/RSD,333.82,03/07/2021 14:55:45
UZS/HKD,100.05,01/20/2021 20:20:05
LBP/SHP,241.38,04/30/2023 07:51:37
HUF/XBB,706.65,03/23/2021 20:30:06
KMF/INR,178.46,03/09/2023 19:13:08
PHP/VND,0.25,01/15/2022 06:33:15
TOP/SLL,105.19,06/10/2023 19:43:59
DJF/BRL,896.51,03/24/2023 03:17:38
ARS/XBD,522.06,11/10/2020 00:27:33
AWG/XFU,98.31,12/26/2021 10:39:54
DOP/DZD,932.22,01/28/2022 01:30:38
UYU/TOP,723.69,11/02/2021 00:20:57
NAD/AED,740.30,08/01/2023 10:35:35
AWG/EUR,399.77,08/23/2023 01:47:10
FKP/AFN,421.55,11/13/2020 00:54:44
RON/TWD,47.25,03/08/2022 05:35:52
DKK/ARS,176.74,12/07/2022 18:24:09
